LEAVING COND WATER TEMP.suministro condensador ch3 (deg F);CONDENSER PRESSURE.presion de Condensador (psi);EVAPORATOR PRESSURE.Presion Evaporador (psi);ENTERING COND WATER TEMP.retorno condensador ch3 (deg F);ENTERING CHW TEMP.retorno ch3 (deg F);LEAVING CHW TEMP.suministro ch3 (deg F);DISCHARGE TEMP.Temperatura Descarga (deg F);OIL SUMP TEMPERATURE.temperatura deposito aceite (deg F);EVAP SATURATION TEMP.Temperatura Saturacion Evaporador (deg F);COND SATURATION TEMP.Temperatura Saturacion Condensacion (deg F);OIL SUMP PRESSURE.Presion deposito aceite (psi);MOTOR CURRENT PCT FLA.% FLA CHILLER (%)
85.0;114.0;42.2;78.4;59.6;48.9;107.2;119.7;46.8;95.0;39.8;61.0
85.0;113.8;41.0;79.5;58.1;47.5;107.3;121.2;45.1;94.3;38.8;60.0
85.0;109.7;40.3;79.5;56.2;46.9;104.9;121.8;45.3;91.8;38.5;59.0
85.2;107.2;40.5;79.8;55.7;47.0;102.5;121.2;45.2;91.2;39.1;59.0
85.2;104.6;40.6;79.8;54.7;46.9;101.2;120.9;45.3;89.8;39.7;58.0
85.2;102.7;40.5;79.8;54.4;47.0;99.9;120.7;45.7;88.8;39.9;57.0
84.2;102.1;40.7;79.8;54.1;47.1;99.2;120.5;45.3;88.4;40.2;57.0
84.2;101.0;40.4;79.8;53.4;46.8;99.2;120.5;45.5;87.8;39.7;57.0
83.9;99.0;40.8;79.7;53.0;47.3;98.3;120.7;45.8;87.1;40.4;56.0
84.9;98.9;41.0;79.7;53.1;47.0;98.1;120.8;45.7;87.2;40.6;54.0
84.9;99.2;40.7;79.7;52.9;47.0;98.3;120.9;45.6;87.1;40.3;54.0
86.0;98.2;40.8;79.7;52.3;46.9;98.1;121.0;45.7;86.4;40.1;54.0
86.0;97.6;40.7;79.7;52.7;47.0;98.9;120.9;45.7;86.7;38.4;53.0
86.7;97.8;40.8;80.1;52.5;47.0;99.4;121.1;45.5;86.5;38.7;53.0
86.7;98.0;40.7;80.1;52.5;47.1;99.2;121.3;45.7;86.3;39.1;54.0
86.7;97.6;40.8;80.1;52.4;47.1;99.6;121.3;45.7;86.2;37.5;51.0
86.7;97.2;40.8;80.1;52.2;47.1;99.8;121.6;45.8;86.1;36.9;51.0
86.7;97.4;41.1;80.1;52.4;47.1;100.7;122.2;45.8;86.2;36.8;51.0
87.7;96.8;40.8;80.9;52.1;47.0;100.7;122.6;45.8;85.9;36.1;49.0
87.7;97.1;40.7;80.9;52.2;47.0;100.6;123.0;45.6;86.1;36.6;49.0
87.7;96.8;40.8;80.9;51.9;47.6;101.0;122.9;45.2;86.8;36.1;49.0
87.7;93.4;43.4;80.9;52.2;48.0;100.6;122.9;46.1;84.6;36.7;49.0
87.7;96.5;40.0;80.9;52.3;46.6;100.6;123.0;44.5;86.9;37.8;47.0
87.4;95.1;42.4;81.1;52.2;47.9;100.2;122.8;44.2;83.4;37.7;48.0
87.4;96.4;41.3;81.1;52.1;47.7;101.2;122.9;45.6;85.6;37.6;45.0
87.4;95.5;41.4;81.1;52.6;48.3;101.3;123.3;46.5;85.8;37.6;45.0
86.4;95.2;43.5;81.1;52.8;48.7;101.0;123.3;47.5;85.3;38.9;47.0
86.4;95.8;40.6;81.1;52.9;49.1;100.9;123.3;48.3;84.8;39.3;46.0
86.4;96.3;40.4;80.7;52.7;48.6;100.9;123.1;48.0;85.0;39.3;46.0
86.4;94.6;41.8;80.7;52.4;46.8;100.2;122.7;47.2;85.7;36.4;46.0
86.4;98.6;39.9;80.7;52.2;48.6;100.3;122.7;44.7;84.9;36.1;45.0
86.4;97.5;40.1;80.7;52.5;49.2;101.6;123.1;45.0;85.8;36.0;45.0
86.4;96.6;43.6;80.7;52.5;47.7;101.5;123.6;45.5;85.9;37.0;45.0
85.7;95.3;41.3;80.3;51.8;47.5;101.1;123.5;45.8;84.6;37.1;45.0
85.7;91.1;40.3;80.3;51.1;49.6;103.5;124.3;49.9;78.8;38.6;45.0
85.7;91.0;42.4;80.3;50.9;47.6;105.0;126.2;46.2;80.8;33.6;45.0
85.7;90.9;43.7;80.3;51.0;46.9;104.3;126.8;47.6;82.0;37.9;45.0
85.7;88.9;44.4;80.3;50.9;46.7;104.6;127.5;48.3;82.9;38.0;45.0
84.9;87.1;44.1;80.0;50.8;48.7;105.1;128.0;49.0;81.3;38.9;45.0
84.9;92.9;40.0;80.0;50.6;48.4;105.2;128.2;48.4;80.1;38.4;45.0
84.9;86.7;40.8;80.0;50.6;48.2;105.3;128.6;46.2;80.1;36.8;45.0
84.9;86.0;44.4;80.0;50.5;47.3;105.1;129.0;44.7;82.7;39.6;43.0
84.9;90.5;39.8;80.0;50.9;48.7;105.5;129.0;44.1;81.6;39.2;43.0
84.2;91.4;42.8;79.6;50.9;48.1;104.5;129.2;44.2;79.9;35.7;43.0
84.2;86.0;45.8;79.6;50.9;49.6;105.6;128.9;47.3;79.2;40.7;43.0
84.2;88.1;39.7;79.6;51.0;47.9;104.6;129.5;45.4;82.3;37.7;43.0
84.2;87.4;40.9;79.6;50.8;47.4;103.9;128.9;45.1;83.7;36.1;44.0
83.2;89.5;39.8;79.6;50.4;49.5;105.2;128.5;49.8;78.4;38.4;46.0
83.3;88.0;45.3;79.2;50.6;47.9;105.3;129.3;43.4;80.4;34.8;44.0
83.3;87.1;39.0;79.2;50.9;47.2;104.8;129.9;46.9;79.8;39.0;44.0
83.3;84.9;44.0;79.2;50.8;49.0;104.2;129.7;47.1;78.5;34.9;48.0
83.3;83.3;43.2;79.2;50.8;47.7;104.3;129.6;50.4;77.8;36.5;49.0
83.3;88.3;39.7;79.2;51.0;48.7;104.6;130.0;45.1;80.1;34.8;69.0
82.8;83.9;40.4;79.0;50.8;47.6;104.3;130.0;48.2;79.3;39.1;78.0
82.8;88.9;43.4;79.0;50.5;47.4;104.1;129.3;45.6;80.1;34.7;72.0
82.8;83.5;44.1;79.0;50.7;49.1;104.2;128.8;47.8;80.2;35.8;72.0
82.8;90.2;39.2;79.0;50.5;48.9;103.8;129.0;43.9;78.4;38.8;79.0
82.8;87.9;44.1;79.0;50.2;47.1;104.7;129.0;49.6;78.4;38.5;85.0
82.7;89.0;39.1;78.9;50.4;49.0;106.1;129.8;46.3;80.3;33.6;90.0
82.7;84.5;40.8;78.9;50.7;47.9;107.2;130.9;45.8;80.1;33.4;92.0
82.7;88.3;43.9;78.9;50.5;48.0;104.3;130.3;44.1;81.4;35.9;92.0
82.7;87.9;39.3;78.9;50.6;48.3;105.8;130.2;48.7;77.6;38.0;93.0
82.7;83.2;44.7;78.9;50.8;47.1;104.9;130.8;49.0;81.9;40.0;92.0
82.3;84.7;42.3;78.8;50.9;50.0;104.9;129.9;44.6;80.8;34.6;92.0
82.3;82.9;39.4;78.8;50.8;48.5;105.2;129.9;48.4;78.5;39.0;91.0
82.3;87.1;41.8;78.8;50.6;47.5;103.5;130.1;46.2;79.8;34.1;90.0
82.3;89.8;39.6;78.8;50.2;47.5;104.6;129.1;44.2;81.4;33.6;87.0
82.3;88.0;39.3;78.8;50.5;49.3;106.3;129.6;48.2;78.1;37.9;86.0
82.2;84.2;42.0;78.6;50.9;50.1;105.2;130.7;50.8;78.7;37.7;86.0
82.2;87.0;44.5;78.6;50.7;47.2;104.1;130.3;48.9;81.4;39.3;82.0
82.2;84.7;42.0;78.6;50.7;49.1;105.1;129.7;45.2;80.4;33.5;78.0
82.2;86.9;38.1;78.6;50.5;50.0;104.2;129.3;50.6;77.5;37.2;74.0
83.2;82.2;45.9;78.6;50.7;48.2;104.4;129.9;46.5;81.1;35.3;74.0
85.3;89.1;39.5;78.7;50.8;48.6;102.5;129.4;48.1;80.7;38.2;75.0
87.8;84.4;40.2;78.7;50.3;47.7;103.0;128.6;45.4;79.2;38.6;74.0
87.8;85.4;40.4;79.8;50.7;49.7;104.8;128.9;43.8;77.0;35.0;73.0
87.8;83.7;43.3;79.8;50.8;48.8;104.5;129.5;46.9;78.5;36.9;73.0
89.1;82.7;45.6;80.8;50.8;49.4;103.1;129.0;43.5;79.9;34.7;73.0
90.2;82.7;45.7;81.2;50.6;48.4;103.6;128.5;46.0;78.4;38.5;73.0
